Arquivo de Origem,Aba de Origem,N° do Cadastro (SQL),Nome do Logradouro,Número,Complemento,Bairro,Referência,CEP,Natureza de Transação,Valor de Transação (declarado pelo contribuinte),Data de Transação,Valor Venal de Referência,Proporção Transmitida (%),Valor Venal de Referência (proporcional),Base de Cálculo adotada,Tipo de Financiamento,Valor Financiado,Cartório de Registro,Matrícula do Imóvel,Situação do SQL,Área do Terreno (m2),Testada (m),Fração Ideal,Área Construída (m2),Uso (IPTU),Descrição do uso (IPTU),Padrão (IPTU),Descrição do padrão (IPTU),ACC (IPTU),Coluna 28
itbi-2024.xlsx,MAR-2024,3614801500,R TUTOIA,349,AP 101,VILA MARIANA,,4007901,1.Compra e venda,953370,2024-03-04,850598,100,850598,953370,,0,1º Cartório de Registro de Imóvel,93702,Ativo Predial,1616,38,0.011,143,20,APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2024.xlsx,MAR-2024,3614802000,R TUTOIA,349,VG 15 1 SS,VILA MARIANA,,4007901,1.Compra e venda,66110,2024-03-04,58969,100,58969,66110,,0,1º Cartório de Registro de Imóvel,93712,Ativo Predial,1616,38,0.0006,12,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2024.xlsx,MAR-2024,3614802213,R TUTOIA,349,VG 16 1 SS,VILA MARIANA,,4007901,1.Compra e venda,80520,2024-03-04,71791,100,71791,80520,,0,1º Cartório de Registro de Imóvel,93717,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2024.xlsx,NOV-2024,3614801713,R TUTOIA,349,AP 152,,,4007901,17.Resolução da alienação fiduciária por inadimplemento,267200,2024-11-12,843763,100,843763,843763,,0,1º Cartório de Registro de Imóvel,75149,Ativo Predial,1616,38,0.0109,142,20,APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2024.xlsx,NOV-2024,3614802736,R TUTOIA,349,VG 4 2 SS,PARAISO,,4007901,17.Resolução da alienação fiduciária por inadimplemento,18800,2024-11-12,71791,100,71791,71791,,0,1º Cartório de Registro de Imóvel,75151,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2024.xlsx,NOV-2024,3614802728,R TUTOIA,349,VG 3 2 SS,PARAISO,,4007901,17.Resolução da alienação fiduciária por inadimplemento,18800,2024-11-12,71791,100,71791,71791,,0,1º Cartório de Registro de Imóvel,75150,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,JUN-2025,3614801322,R TUTOIA,349,AP 53,,,4007901,1.Compra e venda,839000,2025-05-30,876219,100,876219,876219,1.Sistema Financeiro de Habitação,622000,1º Cartório de Registro de Imóvel,93705,Ativo Predial,1616,38,0.0109,142,20,APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,JUN-2025,3614802620,R TUTOIA,349,VG 36 2 SS,,,4007901,1.Compra e venda,84000,2025-05-30,61145,100,61145,84000,,0,1º Cartório de Registro de Imóvel,93711,Ativo Predial,1616,38,0.0006,12,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,JUN-2025,3614802876,R TUTOIA,349,VG 37 2 SS,,,4007901,1.Compra e venda,98000,2025-05-30,74422,100,74422,98000,,0,1º Cartório de Registro de Imóvel,93716,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,AGO-2025,3614801713,R TUTOIA,349,AP 152,,,4007901,1.Compra e venda,139088.25,2025-08-09,0,100,0,139088.25,,0,1º Cartório de Registro de Imóvel,75149,Ativo Predial,1616,38,0.0109,142,20,APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,AGO-2025,3614802728,R TUTOIA,349,VG 3 2 SS,PARAISO,,4007901,1.Compra e venda,40000,2025-08-09,0,100,0,40000,,0,1º Cartório de Registro de Imóvel,75150,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2025.xlsx,AGO-2025,3614802736,R TUTOIA,349,VG 4 2 SS,PARAISO,,4007901,1.Compra e venda,40000,2025-08-09,0,100,0,40000,,0,1º Cartório de Registro de Imóvel,75151,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2026.xlsx,JUN-2026,3614801871,R TUTOIA,349,AP 192,,,4007901,5.Adjudicação compulsória,155800,2026-06-02,916401,100,916401,916401,,0,1º Cartório de Registro de Imóvel,93706,Ativo Predial,1616,38,0.0109,142,20,APARTAMENTO EM CONDOMÍNIO (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
itbi-2026.xlsx,JUN-2026,3614802361,R TUTOIA,349,VG 35 1 SS,,,4007901,5.Adjudicação compulsória,10000,2026-06-02,77047,100,77047,77047,,0,1º Cartório de Registro de Imóvel,93719,Ativo Predial,1616,38,0.0007,15,24,GARAGEM (UNIDADE AUTÔNOMA) EM EDIFÍCIO EM CONDOMÍNIO DE USO EXCLUSIVAMENTE RESIDENCIAL (EXIGE FRAÇÃO IDEAL),22,RESIDENCIAL VERTICAL,1995,
